event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-12 15:18:18.607734,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:20:06.529833,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:20:06.541335,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:20:06.542731,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:20:06.543301,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:20:06.546001,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 16:47:17.504953,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:17.681258,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:17.733201,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:17.798358,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.043683,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.046534,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.125824,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.128922,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.131692,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:18.505349,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:29.391327,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 16:47:29.464831,""root[root] @ localhost [::1]"",24,1,Query,..."
